,BTC,ETH,ADA,BNB,XRP,SOL,DOT,LTC
2025-04-02,82508.1,1792.97,0.6389,,2.02231,117.31,3.9706,81.52
2025-04-03,83132.9,1815.63,0.649972,,2.06303,117.06,4.0584,83.28
2025-04-04,83840.8,1815.21,0.659893,,2.12968,122.74,4.0317,84.38
2025-04-05,83508.9,1805.58,0.655402,,2.14401,120.26,3.9558,82.67
2025-04-06,78363.4,1578.98,0.573295,,1.92093,105.85,3.6796,70.52
2025-04-07,79130.1,1551.65,0.585948,,1.89631,106.89,3.589,70.95
2025-04-08,76276.5,1471.99,0.557768,,1.79385,105.38,3.3707,69.17
2025-04-09,82556.3,1668.81,0.631383,,2.05196,119.05,3.6407,76.01
2025-04-10,79552.1,1521.26,0.609095,,1.96464,112.79,3.4656,73.77
2025-04-11,83420.1,1566.21,0.623492,,2.02284,121.39,3.5601,76.26
2025-04-12,85284.1,1643.34,0.659326,,2.15845,132.28,3.7111,78.65
2025-04-13,83719.0,1596.65,0.637198,,2.11777,128.26,3.664,77.75
2025-04-14,84530.7,1622.99,0.635098,,2.12601,129.29,3.6712,77.14
2025-04-15,83633.5,1588.98,0.609217,,2.08533,126.08,3.5197,75.33
2025-04-16,84023.8,1577.06,0.610807,,2.08341,131.27,3.5575,74.32
2025-04-17,84910.1,1582.34,0.616208,,2.06721,134.82,3.6251,74.91
2025-04-18,84472.5,1588.4,0.627494,,2.06283,134.15,3.6747,75.96
2025-04-19,85121.3,1613.14,0.627765,,2.08648,139.85,3.8795,76.11
2025-04-20,85150.1,1587.49,0.620011,,2.07851,137.88,3.8777,77.77
2025-04-21,87500.6,1580.07,0.624321,,2.08524,136.63,3.7831,78.1
2025-04-22,93472.0,1757.59,0.679253,631.41,2.21411,148.85,4.0066,83.51
2025-04-23,93677.0,1796.05,0.697754,606.0,2.21956,151.2,4.0924,83.31
2025-04-24,93999.9,1770.0,0.722181,601.92,2.20568,152.54,4.269,84.35
2025-04-25,94717.1,1786.61,0.714414,599.8,2.18333,150.98,4.2568,86.38
2025-04-26,94663.5,1820.85,0.707734,612.14,2.19207,149.27,4.2649,87.08
2025-04-27,93817.0,1791.82,0.703745,605.56,2.25269,148.04,4.0957,85.4
2025-04-28,94998.1,1799.56,0.705292,607.88,2.29515,147.76,4.2384,85.62
2025-04-29,94269.6,1798.99,0.696355,602.98,2.23875,146.41,4.147,85.6
2025-04-30,94205.4,1793.92,0.681794,601.02,2.19113,147.62,4.0714,83.58
2025-05-01,96469.9,1838.84,0.7057,599.42,2.2134,150.97,4.177,88.87
2025-05-02,96920.7,1843.01,0.698222,601.91,2.20971,148.1,4.1624,88.02
2025-05-03,95869.9,1833.85,0.7,599.66,2.18863,146.75,4.0286,86.56
2025-05-04,94303.1,1809.09,0.676677,588.57,2.15649,144.0,3.9196,85.06
2025-05-05,94727.0,1819.9,0.663,599.12,2.13222,146.61,3.9189,83.24
2025-05-06,96816.7,1816.54,0.678089,602.85,2.15459,146.82,3.9693,91.54
2025-05-07,97031.4,1811.43,0.671446,603.41,2.12708,147.32,3.9671,89.47
2025-05-08,103228.0,2208.36,0.7695,628.1,2.32711,164.41,4.4499,94.91
2025-05-09,102976.9,2345.79,0.777538,670.04,2.34501,172.78,4.7925,100.53
2025-05-10,104800.0,2585.0,0.841005,663.87,2.47008,177.94,5.308,105.28
2025-05-11,104119.0,2515.58,0.804808,651.46,2.36733,173.26,5.091,100.08
2025-05-12,102825.0,2495.4,0.817628,661.43,2.54379,174.2,5.071,103.85
2025-05-13,104156.7,2680.2,0.830639,664.45,2.583,183.75,5.2034,103.53
2025-05-14,103589.7,2610.35,0.798496,652.35,2.55241,176.63,4.9831,101.03
2025-05-15,103761.7,2547.87,0.762234,651.99,2.38426,169.12,4.7763,99.27
2025-05-16,103500.1,2537.43,0.759261,646.3,2.38,167.49,4.7581,99.46
2025-05-17,103169.1,2475.74,0.742999,639.35,2.35405,166.02,4.609,96.06
2025-05-18,106525.6,2497.69,0.759743,651.59,2.4303,173.39,4.7939,100.86
2025-05-19,105637.7,2528.52,0.742559,649.56,2.38052,166.85,4.597,98.28
