timestamp,BTC,ETH,ADA,BNB,XRP,SOL,DOT,LTC
2025-05-31 21:44:38,104760.5,2541.35,0.690727,659.51,2.19547,157.7,4.1064,87.76
2025-05-31 21:47:22,104760.6,2541.35,0.69005,659.26,2.19546,157.7,4.1064,87.76
2025-05-31 21:58:29,104751.1,2538.89,0.689717,659.17,2.19383,157.52,4.0979,87.61
2025-05-31 22:13:33,104623.6,2535.66,0.689459,659.64,2.1926,157.4,4.0925,87.49
2025-05-31 22:26:29,104708.6,2539.06,0.688868,659.66,2.19237,157.44,4.0959,87.59
2025-05-31 22:43:37,104759.4,2539.74,0.689384,659.94,2.19332,157.47,4.0932,87.65
2025-05-31 22:48:28,104769.0,2540.72,0.688893,659.44,2.19389,157.48,4.0961,87.62
2025-05-31 23:05:52,104904.5,2549.98,0.69298,660.47,2.19984,157.81,4.1122,87.83
2025-05-31 23:13:40,104774.1,2544.8,0.692637,661.24,2.19323,157.53,4.1152,87.75
2025-05-31 23:43:43,104914.4,2543.87,0.691616,660.35,2.19745,157.89,4.1116,87.81
2025-06-01 00:02:12,104917.6,2542.33,0.692338,659.88,2.19449,157.83,4.0999,87.85
2025-06-01 00:02:35,104918.4,2542.33,0.692338,659.88,2.19602,157.83,4.0999,87.85
2025-06-01 00:08:12,104909.5,2541.41,0.692903,659.76,2.19336,157.69,4.093,87.82
2025-06-01 00:13:46,104900.1,2543.06,0.69066,659.76,2.19,157.73,4.0914,87.84
2025-06-01 00:43:49,104768.6,2538.88,0.688944,659.5,2.18339,157.23,4.0905,87.61
2025-06-01 01:13:52,104803.2,2535.08,0.688601,658.86,2.18476,157.23,4.0873,87.42
2025-06-01 01:43:54,104717.1,2531.06,0.686226,658.33,2.1759,156.59,4.0767,87.2
2025-06-01 02:02:06,104641.8,2527.3,0.68635,658.27,2.17221,156.6,4.0724,87.06
2025-06-01 10:06:59,104307.0,2506.57,0.670001,653.94,2.15362,154.25,4.0347,86.55
2025-06-01 10:22:02,104307.0,2505.37,0.6696,653.94,2.154,153.93,4.0387,86.62
2025-06-01 10:37:06,104354.4,2504.34,0.667294,652.65,2.14752,153.36,4.0314,86.6
2025-06-01 10:52:09,104354.5,2506.5,0.668764,652.81,2.15321,153.35,4.0322,86.68
2025-06-01 11:07:12,104370.4,2506.67,0.6666,652.81,2.14497,153.01,4.0219,86.75
2025-06-01 11:22:14,104124.0,2494.24,0.659102,652.8,2.13531,151.94,4.0019,86.52
2025-06-01 11:37:18,103953.6,2490.14,0.660141,650.98,2.13327,151.6,4.0014,86.28
2025-06-01 11:52:23,104000.1,2490.91,0.657413,649.52,2.13421,151.36,3.993,86.16
2025-06-01 12:07:26,103929.1,2489.98,0.656015,650.35,2.1302,151.25,3.9921,86.37
2025-06-01 12:22:28,104000.0,2497.24,0.6608,650.32,2.13942,151.71,4.0077,86.6
2025-06-01 12:37:32,103914.5,2490.28,0.658919,650.41,2.13448,151.17,3.9898,86.36
2025-06-01 12:52:35,103869.4,2489.01,0.65913,649.65,2.13755,151.09,3.9927,86.25
2025-06-01 13:07:38,103968.8,2496.68,0.65944,649.65,2.13993,151.8,4.0094,86.45
2025-06-01 13:22:41,104018.0,2500.29,0.662059,649.87,2.14519,152.09,4.0169,86.69
2025-06-01 13:37:44,104116.1,2503.06,0.66481,650.03,2.1473,152.17,4.0266,86.88
2025-06-01 13:52:47,104100.0,2501.7,0.6645,650.84,2.14622,152.2,4.0307,86.99
2025-06-01 14:07:51,104095.6,2494.93,0.663,650.52,2.13303,151.68,4.02,86.67
2025-06-01 14:22:53,104112.7,2495.62,0.663664,650.38,2.13615,151.98,4.0219,86.84
2025-06-01 14:37:57,103855.5,2477.9,0.659425,648.52,2.12945,150.96,3.9985,86.35
2025-06-01 14:52:55,103962.6,2484.14,0.659518,648.52,2.13406,151.19,4.0039,86.56
2025-06-01 15:07:58,104011.0,2486.16,0.6615,649.52,2.13233,151.39,4.0069,86.69
2025-06-01 15:23:02,104324.7,2494.17,0.664665,650.03,2.14077,151.97,4.0228,87.16
2025-06-01 15:38:06,104294.5,2494.67,0.664598,650.69,2.1407,152.05,4.0207,87.21
2025-06-01 15:53:09,104374.1,2496.36,0.664698,650.74,2.14177,152.17,4.0225,87.64
2025-06-01 16:08:13,104529.0,2504.1,0.667984,650.12,2.14757,152.76,4.0379,87.81
2025-06-01 16:23:17,104666.9,2509.12,0.670166,652.44,2.15095,153.27,4.0502,87.69
2025-06-01 16:38:21,104742.7,2512.42,0.672076,652.94,2.15259,153.69,4.0608,87.8
2025-06-01 16:53:24,104670.3,2512.07,0.670675,652.92,2.14682,153.35,4.0466,87.51
2025-06-01 17:08:28,104602.5,2505.99,0.670251,652.51,2.14579,153.07,4.0418,87.37
2025-06-01 17:23:31,104690.0,2514.99,0.674024,651.83,2.15411,153.89,4.0524,87.61
2025-06-01 17:38:35,104801.2,2518.37,0.673886,652.81,2.15308,154.25,4.0495,87.58
2025-06-01 17:53:38,104783.4,2524.5,0.675556,654.49,2.15361,154.2,4.0521,87.72
2025-06-01 18:08:41,105000.0,2527.37,0.678966,654.9,2.15564,154.67,4.0618,87.68
2025-06-01 18:23:45,105100.1,2538.11,0.682365,657.26,2.16314,155.58,4.0787,88.08
2025-06-01 18:38:48,105258.0,2541.27,0.683546,656.55,2.17087,156.05,4.0766,88.2
2025-06-01 18:53:52,105271.0,2544.51,0.68524,657.86,2.17333,156.48,4.0793,88.25
2025-06-01 19:08:55,105119.5,2540.47,0.683961,657.86,2.17246,155.9,4.0636,88.13
2025-06-01 19:23:59,105153.1,2543.72,0.681688,656.31,2.17078,156.1,4.0587,87.99
2025-06-01 19:39:03,105196.0,2545.0,0.684057,656.78,2.17517,156.68,4.0662,88.21
2025-06-01 19:54:06,105127.6,2541.85,0.683703,656.53,2.17478,156.5,4.0604,88.14
2025-06-01 20:09:09,105004.3,2530.35,0.680052,655.95,2.16577,155.99,4.0431,87.82
2025-06-01 20:24:13,104799.5,2518.94,0.678381,654.37,2.15774,155.39,4.0295,87.51
2025-06-01 20:39:16,104554.0,2506.16,0.674147,651.26,2.15338,154.27,4.0104,87.11
2025-06-01 20:54:20,104622.3,2514.87,0.673108,652.04,2.15112,153.83,4.0106,87.23
2025-06-01 21:09:24,104983.4,2518.99,0.676643,652.76,2.15976,155.04,4.0338,87.59
2025-06-01 21:24:27,105052.7,2520.93,0.67625,653.71,2.16493,155.21,4.0387,87.66
2025-06-01 21:39:30,105105.1,2519.54,0.675445,654.58,2.1616,155.34,4.0284,87.8
2025-06-01 21:54:34,105146.4,2523.65,0.677352,655.05,2.1663,155.85,4.0342,88.04
2025-06-01 22:09:38,104984.7,2521.32,0.678455,655.24,2.16361,155.4,4.0282,87.78
2025-06-01 22:39:42,105201.0,2533.52,0.680774,656.98,2.16452,155.97,4.0456,88.1
2025-06-01 23:09:45,105026.5,2532.21,0.680445,658.32,2.16289,156.36,4.043,87.95
2025-06-01 23:39:48,105411.1,2536.53,0.682529,658.27,2.17402,157.07,4.059,88.29
2025-06-02 00:09:51,105699.9,2546.28,0.686861,659.96,2.17877,157.19,4.0762,88.49
2025-06-02 00:39:54,105516.5,2539.0,0.682113,659.04,2.17278,156.56,4.0577,88.33
2025-06-02 01:09:57,105801.1,2544.02,0.687598,662.19,2.18522,157.85,4.0718,88.59
2025-06-02 01:40:00,105800.0,2540.0,0.685486,661.03,2.18386,157.55,4.0694,88.56
2025-06-02 02:10:02,105670.0,2540.0,0.685044,661.22,2.17749,157.33,4.0654,88.37
2025-06-02 03:10:06,105518.4,2539.83,0.689305,663.41,2.1823,158.71,4.071,88.61
2025-06-02 04:10:09,105283.2,2521.26,0.683054,662.17,2.16799,157.52,4.0552,87.83
2025-06-02 05:10:11,104950.1,2502.55,0.676683,658.94,2.15768,156.2,4.0229,87.28
2025-06-02 06:10:14,104844.0,2494.06,0.676243,656.18,2.16025,155.47,4.0182,87.3
2025-06-02 07:10:18,104870.5,2496.0,0.681142,657.95,2.17571,156.17,4.0348,87.66
2025-06-02 08:10:21,104925.5,2494.62,0.678876,656.78,2.16674,155.28,4.0268,87.76
2025-06-02 08:25:24,104902.9,2492.95,0.679099,657.76,2.16217,155.33,4.0242,87.82
2025-06-02 08:40:27,104971.8,2491.93,0.680503,657.42,2.16606,155.6,4.0184,87.99
2025-06-02 08:55:30,105221.9,2496.47,0.680742,658.09,2.16927,156.03,4.033,88.32
2025-06-02 09:10:33,105354.2,2504.54,0.681013,658.61,2.17085,156.3,4.0383,89.03
2025-06-02 09:25:36,105398.0,2509.55,0.683046,659.21,2.17839,156.53,4.0432,89.28
2025-06-02 09:40:39,105329.6,2505.61,0.681304,657.76,2.16934,155.89,4.0171,89.14
2025-06-02 09:55:42,105380.9,2508.52,0.678638,658.32,2.16673,155.59,4.0177,89.27
2025-06-02 10:10:45,105546.9,2510.82,0.679387,658.32,2.17415,155.82,4.0207,89.38
2025-06-02 10:25:48,105552.6,2509.79,0.677606,656.69,2.17767,156.06,4.0177,89.47
2025-06-02 10:40:51,105609.8,2506.94,0.675562,656.97,2.17255,155.63,4.0017,89.12
2025-06-02 10:55:55,105322.4,2495.25,0.671247,655.96,2.16434,154.67,3.9775,88.56
2025-06-02 11:10:58,105011.1,2489.92,0.667407,653.91,2.15269,154.0,3.9658,88.44
2025-06-02 11:26:01,104840.2,2487.55,0.669345,652.98,2.15596,154.03,3.97,88.77
2025-06-02 11:41:05,104765.0,2484.98,0.669691,653.85,2.15827,154.05,3.9693,88.76
2025-06-02 11:56:08,104600.0,2482.98,0.669053,653.85,2.15656,153.7,3.9656,88.31
2025-06-02 12:11:11,104622.4,2489.41,0.669298,652.5,2.15738,153.82,3.9772,88.49
2025-06-02 12:26:15,104420.4,2485.43,0.666737,652.39,2.15001,153.55,3.97,88.09
2025-06-02 12:41:18,104442.9,2485.71,0.666938,652.65,2.14886,153.99,3.9653,88.0
2025-06-02 12:56:16,104488.8,2484.08,0.667949,652.85,2.15,154.23,3.9698,88.35
2025-06-02 13:11:19,104444.8,2485.5,0.667078,651.59,2.14496,154.19,3.9701,88.19
2025-06-02 13:26:23,104319.4,2486.71,0.667284,652.18,2.14177,154.26,3.9738,88.11
2025-06-02 13:41:26,104288.8,2483.0,0.667204,652.18,2.141,153.99,3.9678,87.93
2025-06-02 13:56:29,104089.4,2482.45,0.667696,651.16,2.14432,153.54,3.975,87.96
2025-06-02 14:11:32,103993.0,2483.78,0.665814,650.86,2.14255,153.83,3.9734,87.94
2025-06-02 14:26:36,103914.0,2480.64,0.666462,650.38,2.14122,153.42,3.9767,87.89
2025-06-02 14:41:40,104218.4,2496.39,0.672568,650.78,2.15143,154.38,4.0126,88.4
2025-06-02 14:56:43,104171.8,2492.14,0.672086,653.16,2.1505,153.91,4.0046,88.45
2025-06-02 15:11:47,104117.4,2491.18,0.669012,653.24,2.14463,153.73,4.0169,88.45
2025-06-02 15:26:50,103999.9,2498.26,0.670283,653.42,2.14497,153.64,4.0097,88.14
2025-06-02 15:41:53,104328.3,2511.57,0.674009,654.66,2.15245,153.52,4.0354,88.37
2025-06-02 15:56:57,103845.0,2503.85,0.66981,653.45,2.14281,152.24,4.0165,87.83
2025-06-02 16:12:01,104016.4,2509.86,0.669117,653.54,2.14282,152.38,4.0228,87.78
2025-06-02 16:27:04,104565.9,2537.22,0.675828,654.48,2.15714,153.93,4.0536,88.55
2025-06-02 16:42:08,104535.1,2529.6,0.672916,656.76,2.1539,153.86,4.0307,88.33
