timestamp,signal,total_signals,positive_outcomes,hit_rate_%,avg_return_%
2025-05-31 19:16:51,BUY,1,1,100.0,909.9
2025-05-31 19:16:51,SELL,1,1,100.0,1.26
2025-05-31 19:21:54,BUY,1,1,100.0,909.9
2025-05-31 19:21:54,SELL,1,1,100.0,1.26
2025-05-31 20:20:08,BUY,2,2,100.0,909.9
2025-05-31 20:20:08,SELL,2,2,100.0,1.26
2025-05-31 20:20:25,BUY,3,3,100.0,909.9
2025-05-31 20:20:25,SELL,3,3,100.0,1.26
2025-05-31 20:26:10,BUY,3,3,100.0,909.9
2025-05-31 20:26:10,SELL,3,3,100.0,1.26
2025-05-31 20:30:23,BUY,4,4,100.0,909.9
2025-05-31 20:30:23,SELL,4,4,100.0,1.26
2025-05-31 20:32:44,BUY,5,5,100.0,909.9
2025-05-31 20:32:44,SELL,5,5,100.0,1.26
2025-05-31 20:47:47,BUY,6,6,100.0,909.9
2025-05-31 20:47:47,SELL,6,6,100.0,1.26
2025-05-31 21:10:52,BUY,10,10,100.0,909.9
2025-05-31 21:10:52,SELL,10,10,100.0,1.26
2025-05-31 21:16:10,BUY,12,12,100.0,909.9
2025-05-31 21:16:10,SELL,12,12,100.0,1.26
2025-05-31 21:21:37,BUY,13,13,100.0,909.9
2025-05-31 21:21:37,SELL,13,13,100.0,1.26
2025-05-31 21:25:25,BUY,14,14,100.0,909.9
2025-05-31 21:25:25,SELL,14,14,100.0,1.26
2025-05-31 21:28:24,BUY,15,15,100.0,909.9
2025-05-31 21:28:24,SELL,15,15,100.0,1.26
2025-05-31 21:43:27,BUY,16,16,100.0,909.9
2025-05-31 21:43:27,SELL,16,16,100.0,1.26
2025-05-31 21:47:24,BUY,17,17,100.0,909.9
2025-05-31 21:47:24,SELL,17,17,100.0,1.26
2025-05-31 21:58:31,BUY,18,18,100.0,909.9
2025-05-31 21:58:31,SELL,18,18,100.0,1.26
2025-05-31 22:13:34,BUY,19,19,100.0,909.9
2025-05-31 22:13:34,SELL,19,19,100.0,1.26
2025-05-31 22:26:30,BUY,20,20,100.0,909.9
2025-05-31 22:26:30,SELL,20,20,100.0,1.26
2025-05-31 22:43:38,BUY,21,21,100.0,909.9
2025-05-31 22:43:38,SELL,21,21,100.0,1.26
2025-05-31 22:48:29,BUY,22,22,100.0,909.9
2025-05-31 22:48:29,SELL,22,22,100.0,1.26
2025-05-31 23:05:53,BUY,23,23,100.0,909.9
2025-05-31 23:05:53,SELL,23,23,100.0,1.26
2025-05-31 23:13:41,BUY,24,24,100.0,909.9
2025-05-31 23:13:41,SELL,24,24,100.0,1.26
2025-05-31 23:43:44,BUY,25,25,100.0,909.9
2025-05-31 23:43:44,SELL,25,25,100.0,1.26
2025-06-01 00:02:13,BUY,26,26,100.0,909.9
2025-06-01 00:02:13,SELL,26,26,100.0,1.26
2025-06-01 00:02:36,BUY,27,27,100.0,909.9
2025-06-01 00:02:36,SELL,27,27,100.0,1.26
2025-06-01 00:08:13,BUY,28,28,100.0,909.9
2025-06-01 00:08:13,SELL,28,28,100.0,1.26
2025-06-01 00:08:13,HOLD,54,32,59.3,0.1
2025-06-01 00:13:47,BUY,29,29,100.0,909.9
2025-06-01 00:13:47,SELL,29,29,100.0,1.26
2025-06-01 00:13:47,HOLD,108,62,57.4,0.07
2025-06-01 00:43:50,BUY,30,30,100.0,909.9
2025-06-01 00:43:50,SELL,30,30,100.0,1.26
2025-06-01 00:43:50,HOLD,162,78,48.1,0.0
2025-06-01 01:13:53,BUY,31,31,100.0,909.9
2025-06-01 01:13:53,SELL,31,31,100.0,1.26
2025-06-01 01:13:53,HOLD,216,89,41.2,-0.05
2025-06-01 01:43:56,BUY,32,32,100.0,909.9
2025-06-01 01:43:56,SELL,32,32,100.0,1.26
2025-06-01 01:43:56,HOLD,270,95,35.2,-0.13
2025-06-01 02:02:07,BUY,33,33,100.0,909.9
2025-06-01 02:02:07,SELL,33,33,100.0,1.26
2025-06-01 02:02:07,HOLD,324,101,31.2,-0.2
2025-06-01 10:07:01,BUY,34,34,100.0,909.9
2025-06-01 10:07:01,SELL,34,34,100.0,1.26
2025-06-01 10:07:01,HOLD,378,101,26.7,-0.39
2025-06-01 10:22:04,BUY,35,35,100.0,909.9
2025-06-01 10:22:04,SELL,35,35,100.0,1.26
2025-06-01 10:22:04,HOLD,432,101,23.4,-0.54
2025-06-01 10:37:07,BUY,36,36,100.0,909.9
2025-06-01 10:37:07,SELL,36,36,100.0,1.26
2025-06-01 10:37:07,HOLD,486,101,20.8,-0.67
2025-06-01 10:52:10,BUY,37,37,100.0,909.9
2025-06-01 10:52:10,SELL,37,37,100.0,1.26
